SMILES,FFV
*CC(*)c1ccccc1C(=O)OCCCCCC,0.37464529
C(=O)(c1ccccc1C(C*)*)OCCCCCC,0.37464529
*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,0.3704102
[C@@H](CCC)(c1ccc(cc1)C1(c2ccc([C@H](c3ccc(cc3)N*)CCC)cc2)CCC(CCCCC)CC1)c1ccc(cc1)N*,0.3704102
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,0.37885964
c1c(ccc(S(=O)(c2ccc(Oc3ccc(cc3)C=C3CCCC(C3=O)=Cc3ccc(*)cc3)cc2)=O)c1)Oc1ccc(cc1)C1(c2ccc(Oc3ccc(cc3)S(=O)(=O)c3ccc(cc3)O*)cc2)CCCCC1,0.37885964
*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,0.3873239
c1(-c2c(-c3ccc(cc3)C)c(N*)c(c(-c3ccc(cc3)C)c2-c2ccc(N*)cc2)-c2ccc(cc2)C)ccc(cc1)C,0.3873239
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,0.35547017
C(CCOc1c(C(*)=O)cc(c(C(Oc2ccc(cc2)O*)=O)c1)OCCCCCCCCCOCC1N(CCC1)c1ccc(cc1)[N+](=O)[O-])CCCCCCOCC1N(CCC1)c1ccc(cc1)[N+]([O-])=O,0.35547017
*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,0.33909279
C1OC2C(C1*)OCC2OC(CCCCCCCCC(=O)O*)=O,0.33909279
*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,0.3476159
C1[C@H]2C[C@@H]3C[C@@H]([C@@H]([C@H]1C3)c1ccc(c(N*)c1)N*)C2,0.3476159
*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,0.37754464
C1CCC2C1C1CC(C2C1)(c1ccc(cc1)Oc1ccc(N2C(=O)c3c(ccc(c3)C(=O)Nc3ccc(Oc4c(C(C)(C)C)cc(cc4)Oc4ccc(cc4)NC(*)=O)cc3)C2=O)cc1)c1ccc(Oc2ccc(N3C(=O)c4cc(ccc4C3=O)*)cc2)cc1,0.37754464
*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,0.35917558
O=C(c1ccc2c(c1)ccc(OCCCCCCCCCOC(C(C)(*)C*)=O)c2)Oc1ccccc1,0.35917558
*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,0.341878125
c1(ccc(N*)cc1)-c1ccc(-c2ccc(cc2)N*)cc1,0.341878125
*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,0.40239665
C(CCCCCC1(c2c(-c3ccc(cc13)*)ccc(c2)-c1ccc(*)cc1)CCCCCCC#N)C#N,0.40239665
*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,0.36481552
O=C1c2ccc(Oc3cc4cc(Oc5ccc6C(=O)N(C(=O)c6c5)c5cc(ccc5)*)ccc4cc3)cc2C(N1*)=O,0.36481552
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,0.36956078
O=C1N(c2ccc(C(c3ccc(cc3)Cc3ccc(cc3)C(=O)c3ccc(cc3)N3C(=O)c4c(C3=O)cc(*)cc4)=O)cc2)C(c2ccc(cc21)C(=O)*)=O,0.36956078
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,0.3314918
*OC(=O)c1ccc(C(OCCOCC*)=O)cc1,0.3314918
*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,0.34991627
c1(c(cc(N*)cc1)C)CCc1cc(C)c(N*)cc1,0.34991627
*Nc1ccc(-c2ccc(N*)cc2)cc1,0.33687015
c1(-c2ccc(N*)cc2)ccc(cc1)N*,0.33687015
*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,0.36326495
c1ccc2P(C(P3(c4ccccc4-c4c(O3)cccc4)=O)(c3ccc(N*)cc3)c3ccc(cc3)NC(c3ccc(cc3)C(=O)*)=O)(=O)Oc3ccccc3-c2c1,0.36326495
*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,0.36594162
*Nc1cc2[C@@H]3c4c(cc(N*)cc4)[C@H](c2cc1)CC3,0.36594162
*C(=O)c1ccc(N(*)CCCCCCCC)cc1,0.40101187
C(CCN(c1ccc(C(*)=O)cc1)*)CCCCC,0.40101187
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,0.31898697
C(C(COC(=O)NCCCCCCNC(=O)O*)(C)C(O)=O)*,0.31898697
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,0.33573247
O=C(NC(Cc1ccc(cc1)O*)C(OCC)=O)CCc1ccc(OC(=O)CCCC(*)=O)cc1,0.33573247
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,0.38715626
c1c(ccc(c1)*)Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(cc3)-c3nc(-c4ccccn4)nnc3*)cc2)cc1,0.38715626
*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,0.33579028
O=C(CCCCCCC(Nc1ccc(N*)cc1)=O)*,0.33579028
*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,0.33930299
O=C(N*)Nc1ccc(Cc2ccc(NC(Nc3cccc(*)n3)=O)cc2)cc1,0.33930299
*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,0.36614256
c1c(ccc(Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(ccc(-c4ccc5C(N(*)C(c5c4)=O)=O)c3)C2=O)c1)Oc1ccc(cc1)*,0.36614256
*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,0.34722767
Cc1c(C*)c(c(c(c1C)CNC(CCCCCC(C)CC(N*)=O)=O)C)C,0.34722767
*c1cc(CCOC(=O)NCCCC)c(*)s1,0.36941899
c1(sc(cc1CCOC(=O)NCCCC)*)*,0.36941899
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,0.3407009
c1cc(C(NCCC(C(C)CC*)C)=O)cc(c1)C(N*)=O,0.3407009
*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,0.32926001
O=C(c1ccc(N2C(c3ccc(*)cc3C2=O)=O)cc1)OCCOCCOC(*)=O,0.32926001
*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,0.32877014
c12c(ccc(c1[C@H](N*)C(c1c(cc(O)cc1)OC)=C2N*)N)N,0.32877014
*CCCCCNC(=O)CCCCC(=O)N*,0.3327408
C(CCC(N*)=O)CC(=O)NCCCCC*,0.3327408
*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,0.35017075
O=C(c1cc(ccc1)C(*)=O)Nc1ccc(C=Cc2cccc(c2)N*)cc1,0.35017075
*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,0.38518992
c1(ccc(C(C)(C)c2ccc(cc2)Oc2ccc(cc2)NC(=O)c2cc3C(=O)N(c4ccc(cc4)-c4sc(-c5ccc(N6C(=O)c7cc(*)ccc7C6=O)cc5)c(-c5ccccc5)c4-c4ccccc4)C(c3cc2)=O)cc1)Oc1ccc(NC(*)=O)cc1,0.38518992
*CC(*)CCCCCCCCCCCCCCCC,0.40787312
C(CC)CCCCCCCCCCCCCC(C*)*,0.40787312
*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,0.38708542
C[Si](*)(CCCNC(=O)C(NCCC[Si](O*)(C)C)=O)C,0.38708542
*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,0.3487648
c1(-c2ccc(-c3ccc4c(C(=O)N(C4=O)CCCCCCCCCC*)c3)cc2)ccc2C(N(*)C(c2c1)=O)=O,0.3487648
*C(C)=[C](*)[Ge]([CH3])([CH3])[CH3],0.39996108
*[C]([Ge]([CH3])([CH3])[CH3])=C(C)*,0.39996108
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,0.40256926
c1cc(ccc1*)Oc1ccc(-c2c(nc3cc(Oc4ccc(N5C(=O)c6cc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc%10c(c9)nc(-c9ccccc9)c(*)n%10)cc7)C8=O)(C(F)(F)F)C(F)(F)F)ccc6C5=O)cc4)ccc3n2)-c2ccccc2)cc1,0.40256926
*OC(COC(*)=O)COC(C)C,0.35338284
O=C(*)OCC(O*)COC(C)C,0.35338284
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,0.38083463
c1(N2C(c3c(C2=O)cc(*)cc3)=O)ccc(C(c2ccc(cc2)Cc2ccc(cc2)N2C(c3c(ccc(C(*)=O)c3)C2=O)=O)=O)cc1,0.38083463
*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,0.37078536
c1(N*)cc2-c3c(cccc3)[C@@H](c2c(-c2ccccc2)c1N*)c1ccccc1,0.37078536
*CC(*)C(=O)Oc1ccccc1C,0.35783052
O(C(=O)C(C*)*)c1ccccc1C,0.35783052
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,0.39901234
c1(-c2ccc(cc2)*)ccc(cc1)C(*)=Nc1ccccc1,0.39901234
*CC(*)C(=O)OC(C)C,0.36594213
O(C(C)C)C(=O)C(*)C*,0.36594213
*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,0.35839221
C(#N)c1ccc(cc1)-c1ccc(cc1)OCCCCCCOC(=O)C(*)C*,0.35839221
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,0.37715059
*C(=Cc1c(OC)cc(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)c(c1)OC)c1ccc(OC)cc1,0.37715059
*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,0.39541698
c1cccc(-c2c3cc(ccc3nc(c2)-c2c(OCCN(c3ccc(C(C#N)=C(C#N)C#N)cc3)CC)ccc(c2)*)Oc2cc3c(cc2)nc(*)cc3-c2ccccc2)c1,0.39541698
*C=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(*)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,0.400601
C(C)CCCCCCCCCCOc1ccc(cc1)N1c2ccc(-c3ccc4N(c5ccc(cc5)OCCCCCCCCCCCC)c5c(cc(cc5)*)Sc4c3)cc2Sc2c1ccc(C=C*)c2,0.400601
*O[Si](*)(CCCOCCOCCOCCOCCOC)CCCOCCOCCOCCOCCOC,0.36551909
O(C)CCOCCOCCOCCOCCC[Si](O*)(CCCOCCOCCOCCOCCOC)*,0.36551909
*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,0.33815952
CP(=O)(CCCNC(CCCCC(=O)N*)=O)CCC*,0.33815952
*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,0.42131241
C1(N(c2c(C(C)C)cc(Cc3cc(c(c(c3)C)N3C(c4cc(C(C(F)(F)F)(*)C(F)(F)F)ccc4C3=O)=O)C(C)C)cc2C)C(=O)c2c1cc(*)cc2)=O,0.42131241
*OC(=O)OCC(O)C(O)COC(=O)OC1COC2C(*)COC12,0.29768641
O=C(O*)OCC(C(COC(OC1COC2C1OCC2*)=O)O)O,0.29768641
*CCCCCOCO*,0.36424093
O(*)COCCCCC*,0.36424093
